date,reservoir,depth,density_cells/ml
2017-06-20,BHR,0,"2335,228517"
2017-06-20,BHR,0,"25687,51368"
2017-06-20,BHR,0,"1132,232008"
2017-06-20,BHR,0,"45713,86733"
2017-06-20,BHR,0,"778,4095056"
2017-06-20,BHR,0,"9623,972069"
2017-06-20,BHR,5,"202,3396949"
2017-06-20,BHR,5,"32197,84773"
2017-06-20,BHR,5,"1437,403917"
2017-06-20,BHR,0,"1708,457227"
2017-06-20,BHR,0,"29306,61242"
2017-06-20,BHR,0,"35286,21272"
2017-06-20,BHR,0,"5782,470613"
2017-06-20,BHR,0,"6,311111111"
2018-09-20,BHR,0,"14054,61607"
2018-09-20,BHR,0,"66951,0802"
2018-09-20,BHR,0,"1677,289576"
2018-09-20,BHR,0,"61073,6953"
2018-09-20,BHR,0,"162778,008"
2018-09-20,BHR,0,"82283,38864"
2018-09-20,BHR,5,"10349,3082"
2018-09-20,BHR,5,"372,7310169"
2018-09-20,BHR,5,"85860,92728"
2018-09-20,BHR,5,"76278,2345"
2018-09-20,BHR,5,"230751,2421"
2018-09-20,BHR,5,"126874,8524"
2017-09-28,BRR,0,"2768,858983"
2017-09-28,BRR,0,"4366,277627"
2017-09-28,BRR,0,"328111,4007"
2017-09-28,BRR,0,"150256,6227"
2017-09-28,BRR,0,"91993,85066"
2017-09-28,BRR,0,"3407,826441"
2017-09-28,BRR,0,"1248049,907"
2017-09-28,BRR,0,"584160,9517"
2017-09-28,BRR,0,"433904,3289"
2017-09-28,BRR,0,"280581,2445"
2017-09-28,BRR,5,"31277,90922"
2017-09-28,BRR,5,"2981,848136"
2017-09-28,BRR,5,"4792,255932"
2017-09-28,BRR,5,"379014,6647"
2017-09-28,BRR,5,"3679,754026"
2017-09-28,BRR,5,"253903,0278"
2017-09-28,BRR,5,"112232,4978"
2017-09-28,BRR,5,"117752,1288"
2017-09-28,BRR,5,"3679,754026"
2017-09-28,BRR,5,"1151763,01"
2017-09-28,BRR,5,"673394,9868"
2017-09-28,BRR,5,"235504,2577"
2017-09-28,BRR,5,"355096,2635"
2017-09-28,BRR,0,"9199,385066"
2017-09-28,BRR,0,"218740,9338"
2017-09-28,BRR,0,"39864,00195"
2017-09-28,BRR,0,"157411,7"
2017-09-28,BRR,0,"65417,84936"
2017-09-28,BRR,0,"683820,9566"
2017-09-28,BRR,0,"337310,7857"
2017-09-28,BRR,0,"219763,0877"
2017-09-28,BRR,0,"131857,8526"
2017-09-28,BRR,0,3000
2017-09-28,BRR,0,"86111,11111"
2017-09-28,BRR,0,"303388,8889"
2018-08-06,BRR,0,"18782,07784"
2018-08-06,BRR,0,"4983,000244"
2018-08-06,BRR,0,"50596,61786"
2018-08-06,BRR,0,"3833,804746"
2018-08-06,BRR,0,"365292,2487"
2018-08-06,BRR,0,"39864,00195"
2018-08-06,BRR,0,"1064,945763"
2018-08-06,BRR,0,"6132,923377"
2018-08-06,BRR,0,"399,354661"
2018-08-06,BRR,0,"3833,077111"
2018-08-06,BRR,0,"328494,7084"
2018-08-06,BRR,0,"51746,541"
2018-08-06,BRR,0,"2299,846266"
2018-08-06,BRR,0,"186,3655085"
2018-08-06,BRR,0,"72061,84968"
2018-08-06,BRR,0,"5749,615666"
2018-08-06,BRR,5,"372,7310169"
2018-08-06,BRR,5,"7359,508053"
2018-08-06,BRR,5,"53356,43338"
2018-08-06,BRR,5,"409832,6047"
2018-08-06,BRR,5,"20238,64714"
2018-08-06,BRR,5,"35877,60176"
2018-08-06,BRR,5,"399,354661"
2018-08-06,BRR,5,"6439,569546"
2018-08-06,BRR,5,"523904,9795"
2018-08-06,BRR,5,"74515,01903"
2018-08-06,BRR,5,"107632,8053"
2018-08-06,BRR,5,"798,709322"
2017-07-25,BVR,0,"266,2364407"
2017-07-25,BVR,0,"31321,71582"
