uid,data_provider,region,lat(degrees),lon(degrees),date(yyyymmdd),time(hh:mm:ss),abun(cells/L),severity,distance_to_water(m)
aabm,Indiana_State_Department_of_Health,midwest,3908031907,-8643086667,20180514,15:00:00,585,1,0
aabn,California_Environmental_Data_Exchange_Network,west,365597,-121.51,20160831,16:15:00,1449039,4,3512
aacd,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3587508324,-7887843428,20201119,0:01:00,0.29,1,514
aaee,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35487,-7906213296,20160824,0:01:00,1614,1,129
aaff,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,3804947082,-9982700111,20190723,0:01:00,111825,3,19
aafl,Indiana_State_Department_of_Health,midwest,39474744,-86898353,20210823,15:15:00,2017313,4,0
aafp,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3564774247,-792717821,20171115,0:01:00,1594,1,743
aagm,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3590688526,-7913296163,20200610,0:01:00,3873,1,774
aahy,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3572652194,-7912545778,20140812,0:01:00,45663,1,697
aaia,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.98,-7879168619,20180627,0:01:00,16943,1,377
aaie,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3586132514,-7876832138,20131106,0:01:00,22822,2,984
aaig,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3589623283,-7904770491,20150824,0:01:00,199.93,3,2212
aair,California_Environmental_Data_Exchange_Network,west,330426,-117076,20141101,17:43:00,2769,4,195
aajk,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,3774668,-9777936,20211018,0:01:00,13119,1,0
aajw,US_Army_Corps_of_Engineers,northeast,40703968,-8029305,20150826,13:30:00,2451086957,1,0
aalr,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,389725,-9467293,20190826,0:01:00,233.1,3,0
aalw,California_Environmental_Data_Exchange_Network,west,34279,-118905,20180108,1:40:00,926743,4,955
aamg,California_Environmental_Data_Exchange_Network,west,379718,-121374,20150818,18:10:00,-65711,4,0
aamp,EPA_National_Aquatic_Research_Survey,west,4043393,-1050334,20170728,0:01:00,67.2,2,0
aaoj,California_Environmental_Data_Exchange_Network,west,380201,-122259,20150707,20:25:00,4080,4,557
aaoy,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.79,-7902639225,20180613,0:01:00,3485,1,154
aapj,California_Environmental_Data_Exchange_Network,west,338892,-117562,20180109,17:20:00,6099,4,132
aaqc,California_Environmental_Data_Exchange_Network,west,373906,-120958,20130709,21:10:00,14163425,4,467
aaqd,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3590753745,-7913818143,20200813,0:01:00,338865,3,498
aaqf,US_Army_Corps_of_Engineers,northeast,39820323,-79921575,20130817,15:35:00,8229927,1,0
aaql,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,38691,-100924,20180813,0:01:00,289.8,3,0
aaqq,California_Environmental_Data_Exchange_Network,west,366519,-120632,20170309,18:30:00,2505155,3,525
aarj,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36115,-7890875883,20130729,0:01:00,72614,2,158
aarq,Pennsylvania_Department_of_Environmental_Protection,northeast,3990293,-7518015,20171205,17:30:00,10133,1,0
aauw,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3570355347,-7916811922,20190606,0:01:00,3798,1,502
aauy,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36313,-7911497779,20200226,0:01:00,2178,1,229
aava,Pennsylvania_Department_of_Environmental_Protection,northeast,4082201,-7746996,20180411,14:45:00,1267,1,0
aavi,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,34.41,-78.3,20200518,0:01:00,871,1,46
aavk,US_Army_Corps_of_Engineers,northeast,41292492,-8045833,20160720,17:00:00,648825,2,0
aaxb,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3572292896,-7913213135,20180827,0:01:00,45747,2,928
aaxc,California_Environmental_Data_Exchange_Network,west,34446,-119876,20200318,19:50:00,444622,4,764
aaxe,California_Environmental_Data_Exchange_Network,west,372486,-120851,20190117,20:15:00,6450,4,488
aays,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,3912106,-9541118,20180827,0:01:00,68.04,2,0
abau,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3568223511,-7920771577,20160621,0:01:00,23236,2,1336
abbf,California_Environmental_Data_Exchange_Network,west,376003,-121224,20150113,16:00:00,3885,4,1306
abbz,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3571542362,-7914607171,20160608,0:01:00,581,1,453
abcg,California_Environmental_Data_Exchange_Network,west,374583,-120967,20160308,17:50:00,240746,3,881
abcx,California_Environmental_Data_Exchange_Network,west,380505,-121418,20130115,16:20:00,7780685,3,19
abdc,California_Environmental_Data_Exchange_Network,west,369818,-120221,20210714,18:00:00,32595215,4,3662
abdk,EPA_National_Aquatic_Research_Survey,west,357589,-1051445,20170619,0:01:00,83591,2,0
abdw,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.48,-76.82,20200226,0:01:00,4067,1,0
abei,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35976,-7875614185,20160413,0:01:00,9694,1,826
aben,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,358881581,-7898307882,20190702,0:01:00,9.73,1,150
abeu,California_Environmental_Data_Exchange_Network,west,397533,-121971,20190522,20:07:00,1481911,4,1161
abhd,California_Environmental_Data_Exchange_Network,west,346721,-120492,20140228,20:50:00,1379644,4,962
abin,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3585803313,-7874197382,20140715,0:01:00,2178,1,1206
abit,EPA_National_Aquatic_Research_Survey,midwest,4897325,-1003713,20170801,0:01:00,311089,3,0
abjj,US_Army_Corps_of_Engineers,northeast,42056766,-78879216,20190924,16:45:00,5504933333,2,0
abjq,California_Environmental_Data_Exchange_Network,west,349454,-120417,20170926,22:15:00,3670,4,1083
abjr,California_Environmental_Data_Exchange_Network,west,367962,-121782,20160119,16:27:00,3030,4,26
abjx,California_Environmental_Data_Exchange_Network,west,381156,-121494,20130820,17:00:00,53632205,4,177
abka,EPA_National_Aquatic_Research_Survey,midwest,4172506,-8501198,20170802,0:01:00,53636,2,0
abkx,California_Environmental_Data_Exchange_Network,west,363708,-119429,20160622,16:00:00,1065.25,4,221
abmo,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3589527007,-7903999949,20150610,0:01:00,73195,2,2024
aboc,EPA_Central_Data_Exchange,midwest,44761667,-82783333,20180403,0:01:00,358241253,1,0
abqi,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3569543599,-7918319656,20160406,0:01:00,2628,1,336
abqw,California_Environmental_Data_Exchange_Network,west,378717,-121526,20160517,18:40:00,1673606,4,75
abrn,US_Army_Corps_of_Engineers,northeast,41890646,-78925275,20171005,14:00:00,7626284722,1,0
absk,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35433,-80.1,20160621,0:01:00,279893,3,0
absl,US_Army_Corps_of_Engineers,northeast,42086392,-78874325,20130716,14:30:00,3791468027,3,0
abso,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3565003134,-7926753078,20160719,0:01:00,48409,2,470
absx,California_Environmental_Data_Exchange_Network,west,369128,-121744,20141203,18:15:00,1050925,4,2132
abua,EPA_Central_Data_Exchange,midwest,44736667,-86721667,20160805,0:01:00,6062838201,1,0
abui,California_Environmental_Data_Exchange_Network,west,371366,-120762,20200512,19:30:00,5260,4,599
abvn,US_Army_Corps_of_Engineers,northeast,41693325,-8007708,20150925,17:20:00,5677361111,2,50
abvy,EPA_National_Aquatic_Research_Survey,midwest,4487109,-1030033,20170612,0:01:00,1628.97,4,0
abwl,EPA_Central_Data_Exchange,midwest,44,-82.35,20170331,0:01:00,155190677,1,0
abxl,California_Environmental_Data_Exchange_Network,west,381602,-121206,20190319,18:20:00,2474705,4,71
abzb,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36313,-7911482949,20200226,0:01:00,492645,3,248
abzk,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,3921155,-9700559,20170828,0:01:00,93.24,2,26
abzw,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3586405812,-7879019482,20150422,0:01:00,327,1,1773
acbt,California_Environmental_Data_Exchange_Network,west,393092,-121595,20190822,17:41:00,5845,4,2716
accd,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3586688428,-7881281395,20160524,0:01:00,3558,1,261
acck,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3569378588,-7918626146,20161213,0:01:00,13863,1,382
acdj,California_Environmental_Data_Exchange_Network,west,373906,-120958,20150414,19:30:00,15726545,4,467
acex,California_Environmental_Data_Exchange_Network,west,370062,-120.6,20210714,18:15:00,7915,4,1186
acgm,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.13,-7906766955,20200624,0:01:00,15394,1,407
acgx,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,356983636,-7917775883,20140722,0:01:00,2075,1,141
acix,California_Environmental_Data_Exchange_Network,west,373978,-120.96,20200811,18:30:00,6916571,4,691
acje,California_Environmental_Data_Exchange_Network,west,396242,-122197,20180620,19:20:00,9135,4,1059
ackq,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35976,-7875042492,20151116,0:01:00,16597,1,1416
ackx,EPA_Central_Data_Exchange,midwest,4762155,-89463167,20170825,0:01:00,2783814767,1,0
aclb,Delaware_National_Resources_and_the_University_of_Delaware's_Citizen_Monitoring_Program,south,38483121680000000,-7512969166,20201110,12:50:00,10,1,0
acld,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35642526,-7928147114,20200715,0:01:00,48797,2,669
aclj,EPA_Water_Quality_Data_Portal,midwest,44868638,-93524033,20130923,14:45:00,4013,1,0
acmt,California_Environmental_Data_Exchange_Network,west,372583,-120475,20130212,20:00:00,182129,3,993
acoa,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3568433767,-792038105,20150622,0:01:00,10529,1,939
acoz,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3563158736,-7930178847,20150506,0:01:00,1753,1,1121
acpf,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3591362456,-7918689955,20140623,0:01:00,9036,1,701
acpk,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,3782493334,-9991665915,20210816,0:01:00,201641,3,0
acqg,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35794,-7901991641,20160920,0:01:00,758089,3,0
acqj,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,358594928,-7875365623,20130423,0:01:00,631,1,404
acqu,California_Environmental_Data_Exchange_Network,west,354265,-118832,20200721,20:00:00,1105711,4,66
acta,US_Army_Corps_of_Engineers,midwest,41005131,-81021802,20160802,17:45:00,1274865923,1,0
actk,Pennsylvania_Department_of_Environmental_Protection,northeast,4189424,-7893875,20190416,16:45:00,1267,1,0
