Fecha,Biovolumen TOTAL fitoplancton (mm³/L),Biovolumen de cianobacteria (mm³/L),% cianobacteria (dato anual),Densidad fitoplancton del taxón de cianobacteria más abundante (cel/mL),Taxón,Género y especie,Observación
07/08/2012,2.44,0.19053,56.63,10336,CHRODISPO,Chroococcus dispersus,"Hay otras especies de cianobacterias con alta presencia como Aphanocapsa sp. 5586.78 cel/mL y Anabaena sp. 1117.36 cel/mL"
09/09/2013,5.88,0.02369,9.54,2235,APHASGENO,Aphanocapsa sp.,"Es el tercer taxón más abundante. También hay presencia de Microcystis flos-aquae 4210.42 cel/mL"
29/06/2015,2.17,0.06598,5.31,187,ANABELENO,Anabaenopsis elenkinii,"Es el sexto taxón más abundante"
27/07/2016,2.50,0.33812,26.19,14224,APHASGENO,Aphanocapsa sp.,"Microcystis flos-aquae 2247 cel/mL"
13/06/2017,3.38,0.572,16.82,4525,APHAGRACO,Aphanizomenon gracile,"Merismopedia tenuissima 3641 cel/mL, Anabaenopsis elenkinii 1427 cel/mL, Microcystis flos-aquae 1337 cel/mL"
12/09/2017,43.54,0.072,0.02,352,APHAGRACO,Aphanizomenon gracile,"Microcystis flos-aquae 333 cel/mL"
04/07/2018,8.80,3.903,44.36,36513,APHAGRACO,Aphanizomenon gracile,"Microcystis flos-aquae 5184 cel/mL y Anabaenopsis elenkinii 1819 cel/mL"
09/07/2019,7.35,0.173,2.35,2917,ANAPCIRCO,Aphanocapsa sp.,Es el segundo taxón más abundante.
10/07/2020,42.37,9.232,67.61,32435,APH002KLE009,Aphanizomenon klebahnii,
10/09/2020,13.65,2.613,6.17,84985,APH002KLE009,Aphanizomenon sp.,
16/07/2021,4.31,0.380,8.96,1903,APH002GENE,Aphanizomenon sp.,"Dolichospermum mendotae 1852 cel/mL"
10/09/2021,3.07,0.083,0.27,761,APH002GENE,Aphanizomenon sp.,
08/07/2022,68.00,0.683,1.00,7015,APH002KLE009,Aphanizomenon klebahnii,"Dolichospermum mendotae 1224 cel/mL"
20/09/2022,68.02,0.030,0.04,1697,MIC003GENE,Microcystis sp.,
